50 Elementos,SetRandom01.txt,SetRandom02.txt,SetRandom03.txt,SetRandom04.txt,SetRandom05.txt,SetRandom06.txt,SetRandom07.txt,SetRandom08.txt,SetRandom09.txt,SetRandom10.txt
heapSort,0.0001990,0.0001907,0.0001891,0.0001938,0.0001934,0.0001917,0.0001918,0.0001895,0.0001913,0.0001882
insertionSort,0.0001892,0.0001371,0.0001660,0.0001588,0.0001855,0.0001692,0.0001687,0.0001649,0.0001390,0.0001701
mergeSort,0.0001559,0.0001691,0.0001497,0.0001473,0.0001871,0.0001535,0.0001553,0.0001475,0.0001494,0.0001474
quickSort,0.0000930,0.0000783,0.0000656,0.0000742,0.0000859,0.0000790,0.0000683,0.0000764,0.0000835,0.0000715
selectionSort,0.0001585,0.0001462,0.0001457,0.0001572,0.0001770,0.0001532,0.0001471,0.0001412,0.0001484,0.0001431
,,,,,,,,,,
100 Elementos,SetRandom01.txt,SetRandom02.txt,SetRandom03.txt,SetRandom04.txt,SetRandom05.txt,SetRandom06.txt,SetRandom07.txt,SetRandom08.txt,SetRandom09.txt,SetRandom10.txt
heapSort,0.0004628,0.0004357,0.0004416,0.0004395,0.0004721,0.0004456,0.0004398,0.0004393,0.0004376,0.0004396
insertionSort,0.0006016,0.0004875,0.0005864,0.0005397,0.0005859,0.0005434,0.0005937,0.0005453,0.0005518,0.0005897
mergeSort,0.0004126,0.0003231,0.0003208,0.0003193,0.0003264,0.0003165,0.0003248,0.0003278,0.0003216,0.0003626
quickSort,0.0002314,0.0001618,0.0001489,0.0001659,0.0002118,0.0001675,0.0001430,0.0002106,0.0001622,0.0001512
selectionSort,0.0004638,0.0004911,0.0004886,0.0004427,0.0004483,0.0004572,0.0004580,0.0004540,0.0004462,0.0004848
,,,,,,,,,,
500 Elementos,SetRandom01.txt,SetRandom02.txt,SetRandom03.txt,SetRandom04.txt,SetRandom05.txt,SetRandom06.txt,SetRandom07.txt,SetRandom08.txt,SetRandom09.txt,SetRandom10.txt
heapSort,0.0030533,0.0030936,0.0032325,0.0030782,0.0038497,0.0030170,0.0030266,0.0030229,0.0030469,0.0030654
insertionSort,0.0136415,0.0124605,0.0127208,0.0127717,0.0132443,0.0131570,0.0133048,0.0137052,0.0131902,0.0136295
mergeSort,0.0022618,0.0022861,0.0022894,0.0021574,0.0021868,0.0021266,0.0021218,0.0021060,0.0022879,0.0022802
quickSort,0.0011439,0.0010552,0.0010782,0.0010665,0.0010709,0.0010688,0.0010897,0.0010095,0.0009802,0.0011091
selectionSort,0.0097367,0.0097802,0.0096571,0.0098280,0.0099636,0.0099066,0.0101287,0.0097905,0.0100458,0.0098125
,,,,,,,,,,
1000 Elementos,SetRandom01.txt,SetRandom02.txt,SetRandom03.txt,SetRandom04.txt,SetRandom05.txt,SetRandom06.txt,SetRandom07.txt,SetRandom08.txt,SetRandom09.txt,SetRandom10.txt
heapSort,0.0067792,0.0070043,0.0068986,0.0069345,0.0072190,0.0073125,0.0081850,0.0068475,0.0070931,0.0068505
insertionSort,0.0557468,0.0530118,0.0504737,0.0531597,0.0493994,0.0491072,0.0500725,0.0509751,0.0517923,0.0511030
mergeSort,0.0047706,0.0046603,0.0047385,0.0048127,0.0047386,0.0050988,0.0047663,0.0046766,0.0046974,0.0045815
quickSort,0.0024357,0.0022442,0.0021556,0.0022674,0.0023423,0.0024573,0.0023988,0.0022838,0.0021472,0.0021557
selectionSort,0.0392514,0.0398083,0.0408062,0.0390289,0.0409778,0.0399334,0.0419789,0.0391787,0.0403418,0.0405913
,,,,,,,,,,
2000 Elementos,SetRandom01.txt,SetRandom02.txt,SetRandom03.txt,SetRandom04.txt,SetRandom05.txt,SetRandom06.txt,SetRandom07.txt,SetRandom08.txt,SetRandom09.txt,SetRandom10.txt
heapSort,0.0151945,0.0158168,0.0157971,0.0155492,0.0158204,0.0156259,0.0154056,0.0153501,0.0154657,0.0153334
insertionSort,0.2046429,0.2006181,0.2024749,0.2056349,0.1898632,0.1968394,0.1917384,0.1970580,0.1982147,0.1977560
mergeSort,0.0104069,0.0110417,0.0106184,0.0104917,0.0111254,0.0107095,0.0108427,0.0105588,0.0108963,0.0105309
quickSort,0.0052252,0.0050108,0.0047761,0.0049240,0.0050046,0.0054048,0.0046839,0.0048581,0.0048070,0.0047157
selectionSort,0.1591686,0.1619187,0.1596146,0.1594604,0.1612478,0.1636533,0.1664229,0.1593405,0.1594487,0.1681502
,,,,,,,,,,
3000 Elementos,SetRandom01.txt,SetRandom02.txt,SetRandom03.txt,SetRandom04.txt,SetRandom05.txt,SetRandom06.txt,SetRandom07.txt,SetRandom08.txt,SetRandom09.txt,SetRandom10.txt
heapSort,0.0248542,0.0245927,0.0246410,0.0244733,0.0241362,0.0240608,0.0248536,0.0244547,0.0240737,0.0244031
insertionSort,0.4642353,0.4359567,0.4520979,0.4604680,0.4363386,0.4307528,0.4336375,0.4531719,0.4739809,0.4369914
mergeSort,0.0175188,0.0174770,0.0176094,0.0170248,0.0173747,0.0174046,0.0174765,0.0171947,0.0172623,0.0173179
quickSort,0.0081988,0.0078375,0.0073443,0.0076117,0.0080461,0.0079049,0.0071992,0.0076201,0.0074061,0.0073687
selectionSort,0.3607497,0.3639719,0.3580664,0.3629982,0.3609123,0.3635284,0.3722692,0.3614427,0.3647209,0.3604892
,,,,,,,,,,
4000 Elementos,SetRandom01.txt,SetRandom02.txt,SetRandom03.txt,SetRandom04.txt,SetRandom05.txt,SetRandom06.txt,SetRandom07.txt,SetRandom08.txt,SetRandom09.txt,SetRandom10.txt
heapSort,0.0346565,0.0336802,0.0339677,0.0340717,0.0336008,0.0335720,0.0339500,0.0333064,0.0346048,0.0334737
insertionSort,0.7642057,0.7622381,0.7893028,0.8062393,0.7972879,0.7578662,0.7728094,0.7724688,0.7829292,0.7709742
mergeSort,0.0267617,0.0245633,0.0243198,0.0249443,0.0243686,0.0246409,0.0246596,0.0242289,0.0243485,0.0242665
quickSort,0.0114064,0.0120993,0.0102182,0.0105307,0.0106509,0.0105468,0.0099800,0.0104413,0.0107408,0.0103171
selectionSort,0.6733503,0.6439389,0.6497549,0.6419530,0.6407484,0.6357381,0.6603671,0.6480176,0.6498467,0.6426408
,,,,,,,,,,
5000 Elementos,SetRandom01.txt,SetRandom02.txt,SetRandom03.txt,SetRandom04.txt,SetRandom05.txt,SetRandom06.txt,SetRandom07.txt,SetRandom08.txt,SetRandom09.txt,SetRandom10.txt
heapSort,0.0434337,0.0438778,0.0438421,0.0439822,0.0440419,0.0435336,0.0434554,0.0436433,0.0435107,0.0430669
insertionSort,1.2046899,1.2067181,1.2318115,1.2126116,1.2713901,1.2186838,1.2074905,1.1798034,1.1919579,1.2075106
mergeSort,0.0334444,0.0321602,0.0321446,0.0328516,0.0330439,0.0323602,0.0322786,0.0320510,0.0334991,0.0343719
quickSort,0.0155413,0.0134631,0.0130190,0.0133885,0.0141153,0.0138595,0.0127920,0.0134561,0.0133596,0.0128409
selectionSort,1.0469931,1.0154521,1.0209151,1.0145462,1.0357843,1.0230973,1.0330363,1.0267096,1.0410148,1.0176163
,,,,,,,,,,
7500 Elementos,SetRandom01.txt,SetRandom02.txt,SetRandom03.txt,SetRandom04.txt,SetRandom05.txt,SetRandom06.txt,SetRandom07.txt,SetRandom08.txt,SetRandom09.txt,SetRandom10.txt
heapSort,0.0761486,0.0690381,0.0677706,0.0684095,0.0693999,0.0695108,0.0689707,0.0679884,0.0679949,0.0683460
insertionSort,2.7435652,2.7176744,2.6794948,2.6554472,2.6782472,2.7283597,2.6667099,2.6543722,2.7092949,2.6146844
mergeSort,0.0556103,0.0540695,0.0530913,0.0542600,0.0558728,0.0565334,0.0543427,0.0539535,0.0534051,0.0531010
quickSort,0.0230795,0.0208836,0.0197867,0.0208041,0.0225761,0.0219401,0.0202990,0.0211298,0.0203927,0.0202629
selectionSort,2.3154659,2.3086698,2.3049995,2.2768136,2.3440388,2.3188534,2.3363819,2.3072892,2.2852925,2.3333513
,,,,,,,,,,
10000 Elementos,SetRandom01.txt,SetRandom02.txt,SetRandom03.txt,SetRandom04.txt,SetRandom05.txt,SetRandom06.txt,SetRandom07.txt,SetRandom08.txt,SetRandom09.txt,SetRandom10.txt
heapSort,0.0962717,0.0939746,0.0953125,0.0946152,0.0952729,0.0962848,0.0934928,0.0938169,0.0944631,0.0951193
insertionSort,4.7843860,4.9401893,4.8736038,4.9175287,4.6675018,5.2088326,4.7089758,4.6241228,4.7480252,4.6742076
mergeSort,0.0788291,0.0790973,0.0782618,0.0793668,0.0797673,0.0811491,0.0776949,0.0772860,0.0782807,0.0777895
quickSort,0.0302665,0.0293813,0.0280447,0.0284348,0.0300433,0.0303997,0.0278232,0.0289522,0.0280421,0.0280232
selectionSort,4.1073481,4.1029277,4.0807135,4.1329075,4.1677506,4.1426343,4.1079860,4.1103651,4.1249414,4.1437618
,,,,,,,,,,
Promedios,50 Elementos,100 Elementos,500 Elementos,1000 Elementos,2000 Elementos,3000 Elementos,4000 Elementos,5000 Elementos,7500 Elementos,10000 Elementos
heapSort,0.0001918,0.0004454,0.0031486,0.0071124,0.0155359,0.0244543,0.0338884,0.0436388,0.0693577,0.0948624
insertionSort,0.0001648,0.0005625,0.0131826,0.0514842,0.1984840,0.4477631,0.7776322,1.2132667,2.6847850,4.8147374
mergeSort,0.0001562,0.0003355,0.0022104,0.0047541,0.0107222,0.0173661,0.0247102,0.0328206,0.0544240,0.0787522
quickSort,0.0000776,0.0001754,0.0010672,0.0022888,0.0049410,0.0076537,0.0106931,0.0135835,0.0211154,0.0289411
selectionSort,0.0001518,0.0004635,0.0098650,0.0401897,0.1618426,0.3629149,0.6486356,1.0275165,2.3131156,4.1221336
